N/A,N/A,N/A,or,https://www.amazon.com/gp/help/customer/display.html?nodeId=201889520,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=czF0B&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=RFFR0M4Z37M1VQ6D7219&pd_rd_wg=LecL7&pd_rd_r=91b1758a-2f8b-4013-a485-70faee87ee6b&qid=1692712158,N/A,N/A
Price and other details may vary based on product size and colour.,N/A,N/A,Price,https://www.amazon.com/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=czF0B&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=RFFR0M4Z37M1VQ6D7219&pd_rd_wg=LecL7&pd_rd_r=91b1758a-2f8b-4013-a485-70faee87ee6b&qid=1692712158,N/A,N/A
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1,5534,https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,N/A,N/A
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199",4.0,55281,https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=ice_ac_b_dpb,N/A,N/A
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,3451,https://www.amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,N/A,N/A
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699,4.0,Amazon’s,https://www.amazon.com/s/ref=sxin_15_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=04BBQ&content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5:amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=RFFR0M4Z37M1VQ6D7219&pd_rd_wg=q0JuJ&pd_rd_r=9fb84c05-8c75-44de-bf6c-e2a20596bd88&qid=1692712158,N/A,N/A
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699,4.0,378,https://www.amazon.com/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹310,4.1,74,https://www.amazon.com/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,N/A,N/A
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",₹329,4.3,30012,https://www.amazon.com/gp/bestsellers/kitchen/ref=sr_bs_2_kitchen_1,N/A,N/A
Amazon Basics Laptop Backpack,₹649,4.2,507,https://www.amazon.com/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,₹298,4.0,385,https://www.amazon.com/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
"Amazon Brand - Solimo Diaper Backpack, Cat Print","₹1,349",4.0,39,https://www.amazon.com/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,₹599,4.5,9,https://www.amazon.com/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,₹448,4.0,81,https://www.amazon.com/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,3.9,16975,https://www.amazon.com/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,N/A,N/A
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,227",4.5,7390,https://www.amazon.com/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,N/A,N/A
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0,5627,https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,N/A,N/A
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹599,3.7,2464,https://www.amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,N/A,N/A
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,3451,https://www.amazon.com/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,N/A,N/A
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399",4.1,5857,https://www.amazon.com/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,N/A,N/A
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899,4.3,6515,https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,N/A,N/A
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3,5607,https://www.amazon.com/gp/bestsellers/luggage/1984997031/ref=sr_bs_10_1984997031_1,N/A,N/A
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249,4.1,9712,https://www.amazon.com/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,N/A,N/A
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199,3.7,7059,https://www.amazon.com/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,N/A,N/A
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4,6041,https://www.amazon.com/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,N/A,N/A
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹588,4.3,12365,https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,N/A,N/A
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.2,674,https://www.amazon.com/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,N/A,N/A
N/A,N/A,N/A,bags,https://www.amazon.com/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=3ToGJ&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=RFFR0M4Z37M1VQ6D7219&pd_rd_wg=Vmvax&pd_rd_r=f6471dd4-c28f-4516-89b7-6861471d2c1c&qid=1692712158,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=3ToGJ&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=RFFR0M4Z37M1VQ6D7219&pd_rd_wg=Vmvax&pd_rd_r=f6471dd4-c28f-4516-89b7-6861471d2c1c&qid=1692712158,N/A,N/A
N/A,N/A,N/A,or,https://www.amazon.com/gp/help/customer/display.html?nodeId=201889520,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=0XNX6&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=E6NEGFYKZQRYREPFVR7Q&pd_rd_wg=8PvDk&pd_rd_r=695e4a51-e9ab-46e4-a60a-7406def4f49a&qid=1692712160,N/A,N/A
Price and other details may vary based on product size and colour.,N/A,N/A,Price,https://www.amazon.com/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=0XNX6&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=E6NEGFYKZQRYREPFVR7Q&pd_rd_wg=8PvDk&pd_rd_r=695e4a51-e9ab-46e4-a60a-7406def4f49a&qid=1692712160,N/A,N/A
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1,5534,https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,N/A,N/A
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199",4.0,55281,https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=ice_ac_b_dpb,N/A,N/A
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,3451,https://www.amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,N/A,N/A
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699,4.0,Amazon’s,https://www.amazon.com/s/ref=sxin_15_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=CNKTu&content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5:amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=E6NEGFYKZQRYREPFVR7Q&pd_rd_wg=WT34s&pd_rd_r=57ed5904-5cf4-41d7-a048-fbdc15f69430&qid=1692712160,N/A,N/A
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699,4.0,378,https://www.amazon.com/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹310,4.1,74,https://www.amazon.com/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,N/A,N/A
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",₹329,4.3,30012,https://www.amazon.com/gp/bestsellers/kitchen/ref=sr_bs_2_kitchen_1,N/A,N/A
Amazon Basics Laptop Backpack,₹649,4.2,507,https://www.amazon.com/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,₹298,4.0,385,https://www.amazon.com/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
"Amazon Brand - Solimo Diaper Backpack, Cat Print","₹1,349",4.0,39,https://www.amazon.com/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,₹599,4.5,9,https://www.amazon.com/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,₹448,4.0,81,https://www.amazon.com/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,N/A
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,3.9,16975,https://www.amazon.com/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,N/A,N/A
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,227",4.5,7390,https://www.amazon.com/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,N/A,N/A
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0,5627,https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,N/A,N/A
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹599,3.7,2464,https://www.amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,N/A,N/A
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,3451,https://www.amazon.com/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,N/A,N/A
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399",4.1,5857,https://www.amazon.com/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,N/A,N/A
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899,4.3,6515,https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,N/A,N/A
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3,5607,https://www.amazon.com/gp/bestsellers/luggage/1984997031/ref=sr_bs_10_1984997031_1,N/A,N/A
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249,4.1,9712,https://www.amazon.com/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,N/A,N/A
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199,3.7,7059,https://www.amazon.com/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,N/A,N/A
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4,6041,https://www.amazon.com/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,N/A,N/A
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹588,4.3,12365,https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,N/A,N/A
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.2,674,https://www.amazon.com/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,N/A,N/A
N/A,N/A,N/A,bags,https://www.amazon.com/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=Z1pId&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=E6NEGFYKZQRYREPFVR7Q&pd_rd_wg=iCocq&pd_rd_r=997b2ec5-90a3-40a7-ba89-50a03920a110&qid=1692712160,N/A,N/A
N/A,N/A,N/A,N/A,https://www.amazon.com/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=Z1pId&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=E6NEGFYKZQRYREPFVR7Q&pd_rd_wg=iCocq&pd_rd_r=997b2ec5-90a3-40a7-ba89-50a03920a110&qid=1692712160,N/A,N/A
N/A,N/A,N/A,or,https://www.amazon.com/gp/help/customer/display.html?nodeId=201889520,N/A,N/A
